EmployeeID,recorddate_key,birthdate_key,orighiredate_key,terminationdate_key,age,length_of_service,city_name,department_name,job_title,store_name,gender_short,gender_full,termreason_desc,termtype_desc,STATUS_YEAR,STATUS,BUSINESS_UNIT
1341,12/31/2006 0:00,2/21/1949,9/23/1989,2/21/2009,57,17,Vancouver,Labor Relations,"Director, Labor Relations",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1343,12/31/2006 0:00,2/24/1949,9/25/1989,2/24/2014,57,17,Victoria,Store Management,Store Manager,37,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1344,12/31/2006 0:00,2/25/1949,9/25/1989,2/25/2014,57,17,Vancouver,HR Technology,"Director, HR Technology",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1346,12/31/2006 0:00,3/04/1949,9/29/1989,3/04/2014,57,17,Vancouver,Employee Records,"Director, Employee Records",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1347,12/31/2006 0:00,3/04/1949,9/29/1989,3/04/2009,57,17,Victoria,Meats,Meats Manager,37,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1351,12/31/2006 0:00,3/09/1949,10/02/1989,3/09/2009,57,17,Vancouver,Compensation,"Director, Compensation",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1352,12/31/2006 0:00,3/11/1949,10/03/1989,3/11/2014,57,17,Vancouver,Legal,Corporate Lawyer,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1353,12/31/2006 0:00,3/13/1949,10/04/1989,3/13/2009,57,17,Kamloops,Store Management,Store Manager,15,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1355,12/31/2006 0:00,3/15/1949,10/05/1989,3/15/2009,57,17,Vancouver,Legal,Corporate Lawyer,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1357,12/31/2006 0:00,3/14/1949,10/05/1989,3/14/2009,57,17,Vancouver,Legal,Corporate Lawyer,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1358,12/31/2006 0:00,3/14/1949,10/05/1989,3/14/2009,57,17,Victoria,Produce,Produce Manager,37,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1359,12/31/2006 0:00,3/16/1949,10/06/1989,3/16/2014,57,17,Nanaimo,Meats,Meats Manager,18,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1360,12/31/2006 0:00,3/17/1949,10/06/1989,3/17/2014,57,17,Vancouver,Accounts Receiveable,"Director, Accounts Receivable",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1362,12/31/2006 0:00,3/18/1949,10/07/1989,3/18/2014,57,17,Kamloops,Meats,Meats Manager,15,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1363,12/31/2006 0:00,3/20/1949,10/08/1989,3/20/2009,57,17,Victoria,Bakery,Bakery Manager,37,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1365,12/31/2006 0:00,3/24/1949,10/10/1989,9/26/2012,57,17,Fort St John,Store Management,Store Manager,12,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1366,12/31/2006 0:00,3/26/1949,10/11/1989,3/26/2009,57,17,Vancouver,Information Technology,Systems Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1367,12/31/2006 0:00,3/27/1949,10/11/1989,3/27/2009,57,17,Surrey,Store Management,Store Manager,31,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1370,12/31/2006 0:00,4/01/1949,10/14/1989,4/01/2014,57,17,Vancouver,Accounts Payable,"Director, Accounts Payable",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1372,12/31/2006 0:00,4/05/1949,10/16/1989,4/05/2009,57,17,Vancouver,Audit,"Director, Audit",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1373,12/31/2006 0:00,4/04/1949,10/16/1989,4/04/2014,57,17,Vancouver,Accounting,"Director, Accounting",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1374,12/31/2006 0:00,4/06/1949,10/17/1989,4/06/2009,57,17,Kelowna,Meats,Meats Manager,16,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1376,12/31/2006 0:00,4/11/1949,10/19/1989,4/11/2009,57,17,Vancouver,Investment,"Director, Investments",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1377,12/31/2006 0:00,4/15/1949,10/22/1989,4/15/2014,57,17,Victoria,Dairy,Dairy Person,37,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1380,12/31/2006 0:00,4/15/1949,10/22/1989,4/15/2014,57,17,Vancouver,Recruitment,Recruiter,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1381,12/31/2006 0:00,4/17/1949,10/23/1989,4/17/2014,57,17,Vancouver,Recruitment,Recruiter,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1382,12/31/2006 0:00,4/20/1949,10/24/1989,4/20/2014,57,17,Vancouver,Recruitment,Recruiter,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1383,12/31/2006 0:00,4/20/1949,10/24/1989,4/20/2009,57,17,Vernon,Store Management,Store Manager,36,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1385,12/31/2006 0:00,4/23/1949,10/26/1989,4/23/2009,57,17,Vancouver,Recruitment,Recruiter,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1386,12/31/2006 0:00,4/30/1949,10/29/1989,4/30/2009,57,17,Victoria,Processed Foods,Processed Foods Manager,37,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1388,12/31/2006 0:00,5/06/1949,11/02/1989,5/06/2009,57,17,Nanaimo,Produce,Produce Manager,18,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1389,12/31/2006 0:00,5/06/1949,11/02/1989,5/06/2009,57,17,Quesnel,Store Management,Store Manager,28,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1390,12/31/2006 0:00,5/07/1949,11/02/1989,5/07/2014,57,17,Vancouver,Recruitment,Recruiter,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1391,12/31/2006 0:00,5/07/1949,11/02/1989,5/07/2009,57,17,Chilliwack,Store Management,Store Manager,6,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1392,12/31/2006 0:00,5/08/1949,11/03/1989,5/08/2009,57,17,Vancouver,Recruitment,Recruiter,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1394,12/31/2006 0:00,5/10/1949,11/04/1989,5/10/2014,57,17,Victoria,Customer Service,Customer Service Manager,37,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1395,12/31/2006 0:00,5/11/1949,11/04/1989,5/11/2014,57,17,Vancouver,Recruitment,Recruiter,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1396,12/31/2006 0:00,5/10/1949,11/04/1989,5/10/2009,57,17,Vernon,Meats,Meats Manager,36,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1397,12/31/2006 0:00,5/11/1949,11/04/1989,5/11/2014,57,17,Quesnel,Meats,Meats Manager,28,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1399,12/31/2006 0:00,5/17/1949,11/07/1989,5/17/2014,57,17,Terrace,Produce,Produce Manager,32,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1400,12/31/2006 0:00,5/16/1949,11/07/1989,5/16/2014,57,17,Vancouver,Recruitment,Recruiter,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1401,12/31/2006 0:00,5/18/1949,11/08/1989,12/30/2014,57,17,Dawson Creek,Store Management,Store Manager,9,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1402,12/31/2006 0:00,5/20/1949,11/09/1989,5/20/2014,57,17,Vancouver,Training,Trainer,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1403,12/31/2006 0:00,5/28/1949,11/13/1989,5/28/2009,57,17,Kelowna,Produce,Produce Manager,16,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1404,12/31/2006 0:00,5/27/1949,11/13/1989,5/27/2014,57,17,Vancouver,Training,Trainer,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1405,12/31/2006 0:00,5/31/1949,11/15/1989,5/31/2009,57,17,Vancouver,Training,Trainer,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1406,12/31/2006 0:00,6/02/1949,11/16/1989,6/02/2009,57,17,Vancouver,Training,Trainer,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1408,12/31/2006 0:00,6/12/1949,11/21/1989,6/12/2014,57,17,Nanaimo,Bakery,Bakery Manager,18,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1409,12/31/2006 0:00,6/12/1949,11/21/1989,6/12/2009,57,17,Vancouver,Information Technology,Systems Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1411,12/31/2006 0:00,6/13/1949,11/22/1989,12/30/2014,57,17,Dawson Creek,Meats,Meat Cutter,9,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1412,12/31/2006 0:00,6/16/1949,11/23/1989,6/16/2009,57,17,Vancouver,Information Technology,Systems Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1413,12/31/2006 0:00,6/16/1949,11/23/1989,6/16/2009,57,17,Vancouver,Information Technology,Systems Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1414,12/31/2006 0:00,6/18/1949,11/24/1989,6/18/2009,57,17,Vancouver,Information Technology,Systems Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1417,12/31/2006 0:00,6/30/1949,12/01/1989,6/30/2014,57,17,Squamish,Store Management,Store Manager,30,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1419,12/31/2006 0:00,7/05/1949,12/03/1989,7/05/2014,57,17,New Westminster,Store Management,Store Manager,21,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1421,12/31/2006 0:00,7/12/1949,12/07/1989,7/12/2009,57,17,Victoria,Store Management,Store Manager,46,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1422,12/31/2006 0:00,7/18/1949,12/10/1989,7/18/2009,57,17,Vancouver,Dairy,Dairy Person,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1425,12/31/2006 0:00,7/20/1949,12/11/1989,7/20/2009,57,17,Vancouver,Dairy,Dairy Person,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1427,12/31/2006 0:00,7/30/1949,12/16/1989,7/30/2014,57,17,Surrey,Meats,Meats Manager,31,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1428,12/31/2006 0:00,8/01/1949,12/18/1989,8/01/2009,57,17,Victoria,Meats,Meats Manager,46,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1430,12/31/2006 0:00,8/01/1949,12/18/1989,8/01/2009,57,17,Vancouver,Dairy,Dairy Person,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1431,12/31/2006 0:00,8/04/1949,12/19/1989,8/04/2009,57,17,Victoria,Produce,Produce Manager,46,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1433,12/31/2006 0:00,8/10/1949,12/22/1989,8/10/2014,57,17,Victoria,Bakery,Bakery Manager,46,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1434,12/31/2006 0:00,8/14/1949,12/24/1989,8/14/2009,57,17,Kamloops,Produce,Produce Manager,15,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1435,12/31/2006 0:00,8/15/1949,12/25/1989,8/15/2009,57,17,Port Coquitlam,Store Management,Store Manager,25,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1436,12/31/2006 0:00,8/18/1949,12/27/1989,8/18/2014,57,17,Terrace,Bakery,Bakery Manager,32,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1438,12/31/2006 0:00,8/23/1949,12/29/1989,12/30/2009,57,17,Cortes Island,Dairy,Dairy Person,7,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1439,12/31/2006 0:00,8/27/1949,12/31/1989,8/27/2009,57,17,Burnaby,Store Management,Store Manager,5,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1440,12/31/2006 0:00,8/26/1949,12/31/1989,8/26/2009,57,17,Victoria,Dairy,Dairy Person,46,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1441,12/31/2006 0:00,8/29/1949,1/01/1990,8/29/2014,57,16,Vancouver,Labor Relations,Labor Relations Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1442,12/31/2006 0:00,8/29/1949,1/01/1990,8/29/2014,57,16,Surrey,Produce,Produce Manager,31,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1444,12/31/2006 0:00,9/03/1949,1/04/1990,9/03/2014,57,16,Kelowna,Bakery,Bakery Manager,16,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1445,12/31/2006 0:00,9/04/1949,1/04/1990,9/04/2009,57,16,Vernon,Produce,Produce Manager,36,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1446,12/31/2006 0:00,9/05/1949,1/05/1990,9/05/2014,57,16,Vernon,Bakery,Bakery Manager,36,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1447,12/31/2006 0:00,9/05/1949,1/05/1990,9/05/2009,57,16,Vancouver,Labor Relations,Labor Relations Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1448,12/31/2006 0:00,9/06/1949,1/06/1990,9/06/2009,57,16,Vancouver,Labor Relations,Labor Relations Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1449,12/31/2006 0:00,9/14/1949,1/10/1990,9/14/2014,57,16,Squamish,Meats,Meats Manager,30,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1453,12/31/2006 0:00,10/01/1949,1/19/1990,10/01/2009,57,16,Kelowna,Dairy,Dairy Person,16,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1456,12/31/2006 0:00,10/04/1949,1/20/1990,10/04/2014,57,16,Nanaimo,Dairy,Dairy Manager,18,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1458,12/31/2006 0:00,10/11/1949,1/24/1990,10/11/2009,57,16,Vancouver,Labor Relations,Labor Relations Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1460,12/31/2006 0:00,10/12/1949,1/25/1990,10/12/2009,57,16,Kamloops,Dairy,Dairy Person,15,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1461,12/31/2006 0:00,10/12/1949,1/25/1990,10/12/2014,57,16,Vancouver,Labor Relations,Labor Relations Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1463,12/31/2006 0:00,10/15/1949,1/26/1990,10/15/2014,57,16,Vancouver,HR Technology,HRIS Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1465,12/31/2006 0:00,10/16/1949,1/27/1990,10/16/2014,57,16,Kelowna,Processed Foods,Processed Foods Manager,16,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1466,12/31/2006 0:00,10/18/1949,1/28/1990,10/18/2009,57,16,Kamloops,Bakery,Bakery Manager,15,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1469,12/31/2006 0:00,10/20/1949,1/29/1990,10/20/2009,57,16,Vancouver,HR Technology,HRIS Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1470,12/31/2006 0:00,10/23/1949,1/30/1990,10/23/2014,57,16,Vancouver,HR Technology,HRIS Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1474,12/31/2006 0:00,11/02/1949,2/05/1990,11/02/2014,57,16,Fort St John,Meats,Meats Manager,12,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1475,12/31/2006 0:00,11/04/1949,2/06/1990,11/04/2014,57,16,Vancouver,HR Technology,HRIS Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1476,12/31/2006 0:00,11/07/1949,2/07/1990,11/07/2009,57,16,Bella Bella,Store Management,Store Manager,3,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1480,12/31/2006 0:00,11/13/1949,2/10/1990,11/13/2014,57,16,Vancouver,HR Technology,HRIS Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1481,12/31/2006 0:00,11/12/1949,2/10/1990,11/12/2014,57,16,Cranbrook,Store Management,Store Manager,8,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1482,12/31/2006 0:00,11/16/1949,2/12/1990,11/16/2009,57,16,Quesnel,Produce,Produce Manager,28,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1483,12/31/2006 0:00,11/22/1949,2/15/1990,11/22/2014,57,16,Williams Lake,Meats,Meats Manager,40,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1484,12/31/2006 0:00,11/22/1949,2/15/1990,7/25/2007,57,16,Vancouver,HR Technology,HRIS Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1485,12/31/2006 0:00,11/22/1949,2/15/1990,11/22/2014,57,16,Vancouver,HR Technology,HRIS Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1486,12/31/2006 0:00,11/24/1949,2/16/1990,11/24/2009,57,16,Vancouver,Employee Records,Benefits Admin,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1487,12/31/2006 0:00,11/25/1949,2/17/1990,11/25/2009,57,16,Vancouver,HR Technology,HRIS Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1488,12/31/2006 0:00,11/25/1949,2/17/1990,11/25/2009,57,16,Vancouver,Employee Records,Benefits Admin,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1489,12/31/2006 0:00,11/27/1949,2/18/1990,11/27/2014,57,16,Victoria,Processed Foods,Processed Foods Manager,46,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1490,12/31/2006 0:00,11/30/1949,2/19/1990,11/30/2014,57,16,Vernon,Dairy,Dairy Person,36,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1491,12/31/2006 0:00,11/30/1949,2/19/1990,11/30/2014,57,16,Trail,Store Management,Store Manager,33,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1492,12/31/2006 0:00,12/02/1949,2/20/1990,12/02/2014,57,16,Victoria,Customer Service,Customer Service Manager,46,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1494,12/31/2006 0:00,12/03/1949,2/21/1990,12/03/2009,57,16,Victoria,Meats,Meat Cutter,37,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1495,12/31/2006 0:00,12/04/1949,2/22/1990,12/04/2014,57,16,Vernon,Processed Foods,Processed Foods Manager,36,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1497,12/31/2006 0:00,12/13/1949,2/26/1990,12/13/2014,57,16,Vancouver,Employee Records,Benefits Admin,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1498,12/31/2006 0:00,12/14/1949,2/27/1990,12/14/2014,57,16,Vancouver,Employee Records,Benefits Admin,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1499,12/31/2006 0:00,12/15/1949,2/27/1990,12/15/2014,57,16,Victoria,Meats,Meat Cutter,37,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1500,12/31/2006 0:00,12/19/1949,3/01/1990,12/19/2014,57,16,Vancouver,Employee Records,Benefits Admin,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1502,12/31/2006 0:00,12/20/1949,3/02/1990,12/20/2014,57,16,Prince George,Store Management,Store Manager,26,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1512,12/31/2006 0:00,12/30/1949,3/07/1990,12/30/2009,57,16,Cranbrook,Meats,Meats Manager,8,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1513,12/31/2006 0:00,1/01/1950,3/08/1990,1/01/2015,56,16,Richmond,Store Management,Store Manager,29,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1516,12/31/2006 0:00,1/05/1950,3/10/1990,1/05/2015,56,16,Vancouver,Compensation,Compensation Analyst,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1517,12/31/2006 0:00,1/05/1950,3/10/1990,1/05/2010,56,16,Vancouver,Compensation,Compensation Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1522,12/31/2006 0:00,1/15/1950,3/16/1990,1/15/2015,56,16,Kelowna,Customer Service,Customer Service Manager,16,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1523,12/31/2006 0:00,1/19/1950,3/18/1990,1/19/2010,56,16,Vancouver,Compensation,Compensation Analyst,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1524,12/31/2006 0:00,1/21/1950,3/19/1990,1/21/2015,56,16,Vancouver,Accounts Receiveable,Accounts Receiveable Clerk,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1527,12/31/2006 0:00,1/31/1950,3/24/1990,1/31/2015,56,16,Terrace,Dairy,Dairy Person,32,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1528,12/31/2006 0:00,1/30/1950,3/24/1990,12/30/2010,56,16,Victoria,Meats,Meat Cutter,37,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1529,12/31/2006 0:00,1/30/1950,3/24/1990,1/30/2010,56,16,Vancouver,Accounts Receiveable,Accounts Receiveable Clerk,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1530,12/31/2006 0:00,2/01/1950,3/25/1990,2/01/2015,56,16,Vernon,Customer Service,Customer Service Manager,36,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1532,12/31/2006 0:00,2/02/1950,3/25/1990,2/02/2010,56,16,Kamloops,Dairy,Dairy Person,15,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1533,12/31/2006 0:00,2/04/1950,3/26/1990,2/04/2015,56,16,Vancouver,Accounts Receiveable,Accounts Receiveable Clerk,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1534,12/31/2006 0:00,2/04/1950,3/26/1990,2/04/2015,56,16,Cranbrook,Produce,Produce Manager,8,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1535,12/31/2006 0:00,2/06/1950,3/27/1990,2/06/2010,56,16,Vancouver,Accounts Receiveable,Accounts Receiveable Clerk,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1536,12/31/2006 0:00,2/06/1950,3/27/1990,2/06/2010,56,16,Kamloops,Processed Foods,Processed Foods Manager,15,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1538,12/31/2006 0:00,2/06/1950,3/27/1990,2/06/2015,56,16,Vancouver,Accounts Payable,Accounts Payable Clerk,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
